policy,runs,task_success,task_success_rate,collision_free,collision_free_rate,ospace_intrusion,ospace_intrusion_rate,cut_through_runs,cut_through_rate,mean_cut_through_events,mean_min_distance_m,mean_path_length_m,mean_navigation_time_s
bc_ft,10,10,1.0,10,1.0,9,0.9,0,0.0,0.0,0.3907,57.2688,312.632
mlp_ft,10,10,1.0,10,1.0,9,0.9,0,0.0,0.0,0.3471,56.9396,335.627
rule,10,10,1.0,10,1.0,9,0.9,0,0.0,0.0,0.277,67.92830000000001,314.994
